z,H_z_kms_Mpc
0.31,79.957
0.311,80.004
0.312,80.05
0.313,80.097
0.314,80.143
0.315,80.19
0.316,80.236
0.317,80.283
0.318,80.329
0.319,80.376
0.32,80.423
0.321,80.469
0.322,80.516
0.323,80.563
0.324,80.61
0.325,80.657
0.326,80.704
0.327,80.751
0.328,80.798
0.329,80.845
0.33,80.892
0.331,80.94
0.332,80.987
0.333,81.034
0.334,81.081
0.335,81.129
0.336,81.176
0.337,81.224
0.338,81.271
0.339,81.319
0.34,81.366
0.341,81.414
0.342,81.462
0.343,81.509
0.34400000000000003,81.557
0.34500000000000003,81.605
0.34600000000000003,81.653
0.34700000000000003,81.701
0.34800000000000003,81.749
0.34900000000000003,81.797
0.35000000000000003,81.845
0.35100000000000003,81.893
0.35200000000000004,81.941
0.353,81.989
0.354,82.037
0.355,82.086
0.356,82.134
0.357,82.182
0.358,82.231
0.359,82.279
0.36,82.327
0.361,82.376
0.362,82.424
0.363,82.473
0.364,82.522
0.365,82.57
0.366,82.619
0.367,82.668
0.368,82.717
0.369,82.766
0.37,82.814
0.371,82.863
0.372,82.912
0.373,82.961
0.374,83.01
0.375,83.06
0.376,83.109
0.377,83.158
0.378,83.207
0.379,83.256
0.38,83.306
0.381,83.355
0.382,83.404
0.383,83.454
0.384,83.503
0.385,83.553
0.386,83.603
0.387,83.652
0.388,83.702
0.389,83.751
0.39,83.801
0.391,83.851
0.392,83.901
0.393,83.951
0.394,84.001
0.395,84.051
0.396,84.101
0.397,84.151
0.398,84.201
0.399,84.251
0.4,84.301
0.401,84.351
0.402,84.401
0.403,84.452
0.404,84.502
0.405,84.552
0.406,84.603
0.40700000000000003,84.653
0.40800000000000003,84.704
0.40900000000000003,84.754
0.41000000000000003,84.805
0.41100000000000003,84.856
0.41200000000000003,84.906
0.41300000000000003,84.957
0.41400000000000003,85.008
0.41500000000000004,85.059
0.41600000000000004,85.109
0.41700000000000004,85.16
0.418,85.211
0.419,85.262
0.42,85.313
0.421,85.364
0.422,85.415
0.423,85.466
0.424,85.518
0.425,85.569
0.426,85.62
0.427,85.671
0.428,85.723
0.429,85.774
0.43,85.825
0.431,85.877
0.432,85.928
0.433,85.98
0.434,86.032
0.435,86.083
0.436,86.135
0.437,86.187
0.438,86.238
0.439,86.29
0.44,86.342
0.441,86.394
0.442,86.446
0.443,86.498
0.444,86.55
0.445,86.602
0.446,86.654
0.447,86.706
0.448,86.758
0.449,86.81
0.45,86.863
0.451,86.915
0.452,86.967
0.453,87.019
0.454,87.072
0.455,87.124
0.456,87.177
0.457,87.229
0.458,87.282
0.459,87.335
0.46,87.387
0.461,87.44
0.462,87.493
0.463,87.545
0.464,87.598
0.465,87.651
0.466,87.704
0.467,87.757
0.468,87.81
0.46900000000000003,87.863
0.47000000000000003,87.916
0.47100000000000003,87.969
0.47200000000000003,88.022
0.47300000000000003,88.075
0.47400000000000003,88.129
0.47500000000000003,88.182
0.47600000000000003,88.235
0.47700000000000004,88.288
0.47800000000000004,88.342
0.47900000000000004,88.395
0.48000000000000004,88.449
0.481,88.502
0.482,88.556
0.483,88.609
0.484,88.663
0.485,88.717
0.486,88.77
0.487,88.824
0.488,88.878
0.489,88.932
0.49,88.985
0.491,89.039
0.492,89.093
0.493,89.147
0.494,89.201
0.495,89.255
0.496,89.309
0.497,89.364
0.498,89.418
0.499,89.472
0.5,89.526
0.501,89.581
0.502,89.635
0.503,89.689
0.504,89.744
0.505,89.798
0.506,89.853
0.507,89.907
0.508,89.962
0.509,90.016
0.51,90.071
0.511,90.126
0.512,90.18
0.513,90.235
0.514,90.29
0.515,90.345
0.516,90.4
0.517,90.455
0.518,90.51
0.519,90.565
0.52,90.62
0.521,90.675
0.522,90.73
0.523,90.785
0.524,90.84
0.525,90.896
0.526,90.951
0.527,91.006
0.528,91.061
0.529,91.117
0.53,91.172
0.531,91.228
0.532,91.283
0.533,91.339
0.534,91.394
0.535,91.45
0.536,91.506
0.537,91.561
0.538,91.617
0.539,91.673
0.54,91.729
0.541,91.785
0.542,91.841
0.543,91.897
0.544,91.953
0.545,92.009
0.546,92.065
0.547,92.121
0.548,92.177
0.549,92.233
0.55,92.289
0.551,92.345
0.552,92.402
0.553,92.458
0.554,92.514
0.555,92.571
0.556,92.627
0.557,92.684
0.558,92.74
0.559,92.797
0.56,92.853
0.561,92.91
0.562,92.967
0.5630000000000001,93.023
0.5640000000000001,93.08
0.5650000000000001,93.137
0.5660000000000001,93.194
0.5670000000000001,93.251
0.5680000000000001,93.308
0.5690000000000001,93.365
0.5700000000000001,93.421
0.5710000000000001,93.479
0.5720000000000001,93.536
0.5730000000000001,93.593
0.5740000000000001,93.65
0.5750000000000001,93.707
0.5760000000000001,93.764
0.5770000000000001,93.821
0.578,93.879
0.579,93.936
0.58,93.993
0.581,94.051
0.582,94.108
0.583,94.166
0.584,94.223
0.585,94.281
0.586,94.338
0.587,94.396
0.588,94.454
0.589,94.511
0.59,94.569
0.591,94.627
0.592,94.685
0.593,94.742
0.594,94.8
0.595,94.858
0.596,94.916
0.597,94.974
0.598,95.032
0.599,95.09
0.6,95.148
0.601,95.207
0.602,95.265
0.603,95.323
0.604,95.381
0.605,95.439
0.606,95.498
0.607,95.556
0.608,95.615
0.609,95.673
0.61,95.732
0.611,95.79
0.612,95.849
0.613,95.907
0.614,95.966
0.615,96.024
0.616,96.083
0.617,96.142
0.618,96.201
0.619,96.259
0.62,96.318
0.621,96.377
0.622,96.436
0.623,96.495
0.624,96.554
0.625,96.613
0.626,96.672
0.627,96.731
0.628,96.79
0.629,96.85
0.63,96.909
0.631,96.968
0.632,97.027
0.633,97.087
0.634,97.146
0.635,97.206
0.636,97.265
0.637,97.324
0.638,97.384
0.639,97.443
0.64,97.503
0.641,97.563
0.642,97.622
0.643,97.682
0.644,97.742
0.645,97.802
0.646,97.861
0.647,97.921
0.648,97.981
0.649,98.041
0.65,98.101
0.651,98.161
0.652,98.221
0.653,98.281
0.654,98.341
0.655,98.401
0.656,98.461
0.657,98.522
0.658,98.582
0.659,98.642
0.66,98.702
0.661,98.763
0.662,98.823
0.663,98.883
0.664,98.944
0.665,99.004
0.666,99.065
0.667,99.125
0.668,99.186
0.669,99.247
0.67,99.307
0.671,99.368
0.672,99.429
0.673,99.49
0.674,99.55
0.675,99.611
0.676,99.672
0.677,99.733
0.678,99.794
0.679,99.855
0.68,99.916
0.681,99.977
0.682,100.038
0.683,100.099
0.684,100.16
0.685,100.222
0.686,100.283
0.687,100.344
0.6880000000000001,100.405
0.6890000000000001,100.467
0.6900000000000001,100.528
0.6910000000000001,100.59
0.6920000000000001,100.651
0.6930000000000001,100.713
0.6940000000000001,100.774
0.6950000000000001,100.836
0.6960000000000001,100.897
0.6970000000000001,100.959
0.6980000000000001,101.02
0.6990000000000001,101.082
0.7000000000000001,101.144
0.7010000000000001,101.206
0.7020000000000001,101.267
0.7030000000000001,101.329
0.7040000000000001,101.391
0.705,101.453
0.706,101.515
0.707,101.577
0.708,101.639
0.709,101.701
0.71,101.763
0.711,101.825
0.712,101.887
0.713,101.95
0.714,102.012
0.715,102.074
0.716,102.136
0.717,102.199
0.718,102.261
0.719,102.323
0.72,102.386
0.721,102.448
0.722,102.511
0.723,102.573
0.724,102.636
0.725,102.698
0.726,102.761
0.727,102.824
0.728,102.886
0.729,102.949
0.73,103.012
0.731,103.075
0.732,103.138
0.733,103.2
0.734,103.263
0.735,103.326
0.736,103.389
0.737,103.452
0.738,103.515
0.739,103.578
0.74,103.642
0.741,103.705
0.742,103.768
0.743,103.831
0.744,103.894
0.745,103.958
0.746,104.021
0.747,104.084
0.748,104.148
0.749,104.211
0.75,104.275
0.751,104.338
0.752,104.402
0.753,104.465
0.754,104.529
0.755,104.592
0.756,104.656
0.757,104.72
0.758,104.783
0.759,104.847
0.76,104.911
0.761,104.975
0.762,105.039
0.763,105.103
0.764,105.167
0.765,105.231
0.766,105.295
0.767,105.359
0.768,105.423
0.769,105.487
0.77,105.551
0.771,105.615
0.772,105.679
0.773,105.743
0.774,105.808
0.775,105.872
0.776,105.936
0.777,106.001
0.778,106.065
0.779,106.13
0.78,106.194
0.781,106.259
0.782,106.323
0.783,106.388
0.784,106.452
0.785,106.517
0.786,106.582
0.787,106.646
0.788,106.711
0.789,106.776
0.79,106.841
0.791,106.905
0.792,106.97
0.793,107.035
0.794,107.1
0.795,107.165
0.796,107.23
0.797,107.295
0.798,107.36
0.799,107.425
0.8,107.49
0.801,107.556
0.802,107.621
0.803,107.686
0.804,107.751
0.805,107.817
0.806,107.882
0.807,107.947
0.808,108.013
0.809,108.078
0.81,108.144
0.811,108.209
0.812,108.275
0.8130000000000001,108.34
0.8140000000000001,108.406
0.8150000000000001,108.471
0.8160000000000001,108.537
0.8170000000000001,108.603
0.8180000000000001,108.668
0.8190000000000001,108.734
0.8200000000000001,108.8
0.8210000000000001,108.866
0.8220000000000001,108.932
0.8230000000000001,108.998
0.8240000000000001,109.063
0.8250000000000001,109.129
0.8260000000000001,109.195
0.8270000000000001,109.261
0.8280000000000001,109.327
0.8290000000000001,109.394
0.8300000000000001,109.46
0.8310000000000001,109.526
0.8320000000000001,109.592
0.8330000000000001,109.658
0.834,109.724
0.835,109.791
0.836,109.857
0.837,109.923
0.838,109.99
0.839,110.056
0.84,110.123
0.841,110.189
0.842,110.256
0.843,110.322
0.844,110.389
0.845,110.455
0.846,110.522
0.847,110.589
0.848,110.655
0.849,110.722
0.85,110.789
0.851,110.856
0.852,110.922
0.853,110.989
0.854,111.056
0.855,111.123
0.856,111.19
0.857,111.257
0.858,111.324
0.859,111.391
0.86,111.458
0.861,111.525
0.862,111.592
0.863,111.66
0.864,111.727
0.865,111.794
0.866,111.861
0.867,111.929
0.868,111.996
0.869,112.063
0.87,112.131
0.871,112.198
0.872,112.266
0.873,112.333
0.874,112.401
0.875,112.468
0.876,112.536
0.877,112.603
0.878,112.671
0.879,112.739
0.88,112.806
0.881,112.874
0.882,112.942
0.883,113.01
0.884,113.078
0.885,113.145
0.886,113.213
0.887,113.281
0.888,113.349
0.889,113.417
0.89,113.485
0.891,113.553
0.892,113.621
0.893,113.69
0.894,113.758
0.895,113.826
0.896,113.894
0.897,113.962
0.898,114.031
0.899,114.099
0.9,114.167
0.901,114.236
0.902,114.304
0.903,114.372
0.904,114.441
0.905,114.509
0.906,114.578
0.907,114.647
0.908,114.715
0.909,114.784
0.91,114.852
0.911,114.921
0.912,114.99
0.913,115.059
0.914,115.127
0.915,115.196
0.916,115.265
0.917,115.334
0.918,115.403
0.919,115.472
0.92,115.541
0.921,115.61
0.922,115.679
0.923,115.748
0.924,115.817
0.925,115.886
0.926,115.955
0.927,116.024
0.928,116.093
0.929,116.163
0.93,116.232
0.931,116.301
0.932,116.37
0.933,116.44
0.934,116.509
0.935,116.579
0.936,116.648
0.937,116.718
0.9380000000000001,116.787
0.9390000000000001,116.857
0.9400000000000001,116.926
0.9410000000000001,116.996
0.9420000000000001,117.065
0.9430000000000001,117.135
0.9440000000000001,117.205
0.9450000000000001,117.275
0.9460000000000001,117.344
0.9470000000000001,117.414
0.9480000000000001,117.484
0.9490000000000001,117.554
0.9500000000000001,117.624
0.9510000000000001,117.693
0.9520000000000001,117.763
0.9530000000000001,117.833
0.9540000000000001,117.903
0.9550000000000001,117.973
0.9560000000000001,118.043
0.9570000000000001,118.114
0.9580000000000001,118.184
0.9590000000000001,118.254
0.9600000000000001,118.324
0.961,118.394
0.962,118.464
0.963,118.535
0.964,118.605
0.965,118.675
0.966,118.746
0.967,118.816
0.968,118.886
0.969,118.957
0.97,119.027
0.971,119.098
0.972,119.168
0.973,119.239
0.974,119.31
0.975,119.38
0.976,119.451
0.977,119.522
0.978,119.592
0.979,119.663
0.98,119.734
0.981,119.805
0.982,119.875
0.983,119.946
0.984,120.017
0.985,120.088
0.986,120.159
0.987,120.23
0.988,120.301
0.989,120.372
0.99,120.443
0.991,120.514
0.992,120.585
0.993,120.657
0.994,120.728
0.995,120.799
0.996,120.87
0.997,120.941
0.998,121.013
0.999,121.084
1.0,121.155
1.01,121.871
1.02,122.589
1.03,123.31
1.04,124.034
1.05,124.761
1.06,125.491
1.07,126.223
1.08,126.959
1.09,127.697
1.1,128.438
1.11,129.182
1.12,129.928
1.1300000000000001,130.678
1.1400000000000001,131.43
1.1500000000000001,132.184
1.1600000000000001,132.942
1.1700000000000002,133.702
1.1800000000000002,134.465
1.1900000000000002,135.231
1.2000000000000002,135.999
1.2100000000000002,136.77
1.2200000000000002,137.543
1.2300000000000002,138.319
1.2400000000000002,139.098
1.2500000000000002,139.88
1.2600000000000002,140.663
1.2700000000000002,141.45
1.2800000000000002,142.239
1.2900000000000003,143.031
1.3000000000000003,143.825
1.3100000000000003,144.621
1.3200000000000003,145.42
1.3300000000000003,146.222
1.3400000000000003,147.026
1.3500000000000003,147.833
1.3600000000000003,148.642
1.3700000000000003,149.454
1.3800000000000003,150.268
1.3900000000000003,151.084
1.4000000000000004,151.903
1.4100000000000004,152.724
1.4200000000000004,153.548
1.4300000000000004,154.374
1.4400000000000004,155.202
1.4500000000000004,156.033
1.4600000000000004,156.866
1.4700000000000004,157.702
1.4800000000000004,158.539
1.4900000000000004,159.38
1.5000000000000004,160.222
1.5100000000000005,161.067
1.5200000000000005,161.914
1.5300000000000005,162.763
1.5400000000000005,163.615
1.5500000000000005,164.469
1.5600000000000005,165.325
1.5700000000000005,166.183
1.5800000000000005,167.044
1.5900000000000005,167.907
1.6000000000000005,168.772
1.6100000000000005,169.64
1.6200000000000006,170.509
1.6300000000000006,171.381
1.6400000000000006,172.255
1.6500000000000006,173.131
1.6600000000000006,174.01
1.6700000000000006,174.89
1.6800000000000006,175.773
1.6900000000000006,176.658
1.7000000000000006,177.545
1.7100000000000006,178.434
1.7200000000000006,179.325
1.7300000000000006,180.218
1.7400000000000007,181.114
1.7500000000000007,182.011
1.7600000000000007,182.911
1.7700000000000007,183.813
1.7800000000000007,184.717
1.7900000000000007,185.623
1.8000000000000007,186.531
1.8100000000000007,187.441
1.8200000000000007,188.353
1.8300000000000007,189.267
1.8400000000000007,190.183
1.8500000000000008,191.102
1.8600000000000008,192.022
1.8700000000000008,192.944
1.8800000000000008,193.869
1.8900000000000008,194.795
1.9000000000000008,195.723
1.9100000000000008,196.654
1.9200000000000008,197.586
1.9300000000000008,198.52
1.9400000000000008,199.457
1.9500000000000008,200.395
1.9600000000000009,201.335
1.9700000000000009,202.278
1.9800000000000009,203.222
1.9900000000000009,204.168
2.000000000000001,205.116
2.0100000000000007,206.066
2.020000000000001,207.018
2.030000000000001,207.972
2.040000000000001,208.928
2.0500000000000007,209.885
2.060000000000001,210.845
2.070000000000001,211.806
2.080000000000001,212.77
2.0900000000000007,213.735
2.100000000000001,214.702
2.110000000000001,215.671
2.120000000000001,216.642
2.130000000000001,217.615
2.140000000000001,218.59
2.1500000000000012,219.566
2.160000000000001,220.545
2.170000000000001,221.525
2.180000000000001,222.507
2.1900000000000013,223.491
2.200000000000001,224.477
2.210000000000001,225.464
2.220000000000001,226.454
2.2300000000000013,227.445
2.240000000000001,228.438
2.250000000000001,229.433
2.260000000000001,230.43
2.2700000000000014,231.428
2.280000000000001,232.428
2.290000000000001,233.43
2.300000000000001,234.434
2.3100000000000014,235.44
2.320000000000001,236.447
2.330000000000001,237.456
2.340000000000001,238.467
2.3500000000000014,239.48
2.360000000000001,240.495
2.370000000000001,241.511
2.3800000000000012,242.529
2.3900000000000015,243.549
2.4000000000000012,244.57
2.410000000000001,245.593
2.4200000000000013,246.618
2.4300000000000015,247.645
2.4400000000000013,248.674
2.450000000000001,249.704
2.4600000000000013,250.736
2.4700000000000015,251.769
2.4800000000000013,252.804
2.490000000000001,253.841
2.5000000000000013,254.88
2.5100000000000016,255.921
2.5200000000000014,256.963
2.530000000000001,258.007
2.5400000000000014,259.052
2.5500000000000016,260.099
2.5600000000000014,261.148
2.570000000000001,262.199
2.5800000000000014,263.251
2.5900000000000016,264.305
2.6000000000000014,265.36
2.610000000000001,266.418
2.6200000000000014,267.476
2.6300000000000017,268.537
2.6400000000000015,269.599
2.6500000000000012,270.663
2.6600000000000015,271.729
2.6700000000000017,272.796
2.6800000000000015,273.864
2.6900000000000013,274.935
2.7000000000000015,276.007
2.7100000000000017,277.081
2.7200000000000015,278.156
2.7300000000000013,279.233
2.7400000000000015,280.311
2.7500000000000018,281.391
2.7600000000000016,282.473
2.7700000000000014,283.557
2.7800000000000016,284.642
2.790000000000002,285.728
2.8000000000000016,286.816
2.8100000000000014,287.906
2.8200000000000016,288.998
2.830000000000002,290.091
2.8400000000000016,291.185
2.8500000000000014,292.281
2.8600000000000017,293.379
2.870000000000002,294.478
2.8800000000000017,295.579
2.8900000000000015,296.682
2.9000000000000017,297.786
2.910000000000002,298.891
2.9200000000000017,299.998
2.9300000000000015,301.107
2.9400000000000017,302.217
2.950000000000002,303.329
2.9600000000000017,304.443
2.9700000000000015,305.558
2.9800000000000018,306.674
2.990000000000002,307.792
3.0000000000000018,308.912
3.0100000000000016,310.033
3.0200000000000014,311.155
3.030000000000002,312.279
3.040000000000002,313.405
3.0500000000000016,314.532
3.0600000000000014,315.661
3.070000000000002,316.791
3.080000000000002,317.923
3.0900000000000016,319.057
3.1000000000000014,320.191
3.110000000000002,321.328
3.120000000000002,322.466
3.1300000000000017,323.605
3.1400000000000015,324.746
3.150000000000002,325.888
3.160000000000002,327.032
3.1700000000000017,328.177
3.1800000000000015,329.324
3.190000000000002,330.473
3.200000000000002,331.622
3.2100000000000017,332.774
3.2200000000000015,333.927
3.230000000000002,335.081
3.240000000000002,336.237
3.2500000000000018,337.394
3.2600000000000016,338.553
3.2700000000000022,339.713
3.280000000000002,340.874
3.290000000000002,342.038
3.3000000000000016,343.202
3.3100000000000023,344.368
3.320000000000002,345.536
3.330000000000002,346.705
3.3400000000000016,347.875
3.3500000000000023,349.047
3.360000000000002,350.22
3.370000000000002,351.395
3.3800000000000017,352.572
3.3900000000000023,353.749
3.400000000000002,354.928
3.410000000000002,356.109
3.4200000000000017,357.291
3.4300000000000024,358.474
3.440000000000002,359.659
3.450000000000002,360.846
3.4600000000000017,362.033
3.4700000000000024,363.222
3.480000000000002,364.413
3.490000000000002,365.605
3.5000000000000018,366.799
3.5100000000000025,367.993
3.5200000000000022,369.19
3.530000000000002,370.387
3.540000000000002,371.587
3.5500000000000025,372.787
3.5600000000000023,373.989
3.570000000000002,375.192
3.580000000000002,376.397
3.5900000000000025,377.603
3.6000000000000023,378.811
3.610000000000002,380.02
3.620000000000002,381.23
3.6300000000000026,382.442
3.6400000000000023,383.655
3.650000000000002,384.869
3.660000000000002,386.085
3.6700000000000026,387.303
3.6800000000000024,388.521
3.690000000000002,389.741
3.700000000000002,390.963
3.7100000000000026,392.186
3.7200000000000024,393.41
3.730000000000002,394.636
3.740000000000002,395.863
3.7500000000000027,397.091
3.7600000000000025,398.321
3.7700000000000022,399.552
3.780000000000002,400.784
3.7900000000000027,402.018
3.8000000000000025,403.253
3.8100000000000023,404.49
3.820000000000002,405.728
3.8300000000000027,406.967
3.8400000000000025,408.207
3.8500000000000023,409.449
3.860000000000002,410.693
3.8700000000000028,411.937
3.8800000000000026,413.183
3.8900000000000023,414.431
3.900000000000002,415.68
3.910000000000003,416.93
3.9200000000000026,418.181
3.9300000000000024,419.434
3.940000000000002,420.688
3.950000000000003,421.943
3.9600000000000026,423.2
3.9700000000000024,424.458
3.980000000000002,425.718
3.990000000000003,426.978
4.000000000000003,428.24
4.0100000000000025,429.504
4.020000000000002,430.769
4.030000000000003,432.035
4.040000000000003,433.302
4.0500000000000025,434.571
4.060000000000002,435.841
4.070000000000003,437.112
4.080000000000003,438.385
4.0900000000000025,439.659
4.100000000000002,440.934
4.110000000000003,442.211
4.120000000000003,443.489
4.130000000000003,444.768
4.140000000000002,446.048
4.150000000000003,447.33
4.160000000000003,448.613
4.170000000000003,449.898
4.180000000000002,451.183
4.190000000000003,452.47
4.200000000000003,453.759
4.210000000000003,455.048
4.220000000000002,456.339
4.230000000000003,457.632
4.240000000000003,458.925
4.250000000000003,460.22
4.2600000000000025,461.516
4.270000000000003,462.813
